key_id,service_trade_site_location_id,address_normalized,property_management_company_normalized,building_normalized,display_address,legacy_monthly_route_location_id,legacy_testing_site_id,keys_text,barcode_text,source,exported_at
552,,770 cormorant street,firm management,,770 Cormorant Street,1477,,DP 077 K6-F1,100867,legacy_location,2026-05-11T22:18:57.352487+00:00
550,,772 hockley avenue,centurion property associates,,772 Hockley Avenue,1478,,327,100007,legacy_location,2026-05-11T22:18:57.352487+00:00
554,,777 blanshard street,proline,,777 Blanshard Street,1479,,"TS 777 
[K3, F1]",100638,legacy_location,2026-05-11T22:18:57.352487+00:00
555,,777 cook street,devon properties,,777 Cook Street,1480,,184,100358,legacy_location,2026-05-11T22:18:57.352487+00:00
550,,777 hockley avenue,centurion property associates,,777 Hockley Avenue,1481,,327,100007,legacy_location,2026-05-11T22:18:57.352487+00:00
550,,778 hockley avenue,centurion property associates,,778 Hockley Avenue,1483,,327,100007,legacy_location,2026-05-11T22:18:57.352487+00:00
559,,780 kings road,chek tv,,780 Kings Road,1484,,CN 087,100208,legacy_location,2026-05-11T22:18:57.352487+00:00
550,,784 hockley avenue,centurion property associates,,784 Hockley Avenue,1485,,327,100007,legacy_location,2026-05-11T22:18:57.352487+00:00
318,,7840 lochside drive,starlight/devon,,7840 Lochside Drive,1486,,CH 0487,100669,legacy_location,2026-05-11T22:18:57.352487+00:00
563,,7878 e. saanich road,devon properties,,7878 E. Saanich Road,1488,,421,100886,legacy_location,2026-05-11T22:18:57.352487+00:00
550,,790 hockley avenue,centurion property associates,,790 Hockley Avenue,1489,,327,100007,legacy_location,2026-05-11T22:18:57.352487+00:00
565,,8 bastion square,servissio,,8 Bastion Square,1490,,Y 8  [K9],100697,legacy_location,2026-05-11T22:18:57.352487+00:00
566,,800 johnson street,357689 bc ltd.,,800 Johnson Street,1491,,TH 008 K1,100412,legacy_location,2026-05-11T22:18:57.352487+00:00
567,,803 esquimalt road,capital west,,803 Esquimalt Road,1492,,DC 308,100446,legacy_location,2026-05-11T22:18:57.352487+00:00
568,,805 academy close,tpm,,805 Academy Close,1493,,399,100472,legacy_location,2026-05-11T22:18:57.352487+00:00
569,,810 blanshard street,colliers,,810 Blanshard Street,1494,,N 018 [K1],100137,legacy_location,2026-05-11T22:18:57.352487+00:00
570,,815 queens avenue,devon properties,,815 Queens Avenue,1495,,337,100414,legacy_location,2026-05-11T22:18:57.352487+00:00
571,,818 broughton street,hardal management,,818 Broughton Street,1496,,TO 818,,legacy_location,2026-05-11T22:18:57.352487+00:00
573,,820 craigflower road,starlight properties c/o devon properties ltd.,,820 Craigflower Road,1498,,FW 28,100110,legacy_location,2026-05-11T22:18:57.352487+00:00
574,,821 hockley avenue,centurion properties,,821 Hockley Avenue,1499,,353,100228,legacy_location,2026-05-11T22:18:57.352487+00:00
575,,825 cook street,devon properties,,825 Cook Street,1500,,51,100924,legacy_location,2026-05-11T22:18:57.352487+00:00
659,,829 admirals road,associa british columbia inc.,,829 Admirals Road,1501,,DA 928,100158,legacy_location,2026-05-11T22:18:57.352487+00:00
576,,829 fisgard street,pacifica housing,,829 Fisgard Street,1502,,F 928,100399,legacy_location,2026-05-11T22:18:57.352487+00:00
577,,830 pembroke street,devon properties 45,,830 Pembroke Street,1503,,154,100072,legacy_location,2026-05-11T22:18:57.352487+00:00
578,,831 dunsmuir road,belmont properties,,831 Dunsmuir Road,1504,,DN 138,100509,legacy_location,2026-05-11T22:18:57.352487+00:00
579,,831 ellery street,m.r.b. holdings ltd.,,831 Ellery Street,1505,,EY 138,100473,legacy_location,2026-05-11T22:18:57.352487+00:00
580,,831 fisgard street,1134819 bc ltd.,,831 Fisgard Street,1506,,IM 138 K1,100241,legacy_location,2026-05-11T22:18:57.352487+00:00
581,,836 yates street,colliers,,836 Yates Street,1507,,YC 638 K1-F1,100640,legacy_location,2026-05-11T22:18:57.352487+00:00
582,,837 ellery street,devon properties ltd.,,837 Ellery Street,1508,,EY 738,100018,legacy_location,2026-05-11T22:18:57.352487+00:00
583,,838 fort street,martello property services,,838 Fort Street,1509,,E 838 K2-F1,100745,legacy_location,2026-05-11T22:18:57.352487+00:00
584,,840 fort street,servisso property service,,840 Fort Street,1510,,414,100999,legacy_location,2026-05-11T22:18:57.352487+00:00
585,,840 humboldt street,devon properties,,840 Humboldt Street,1511,,122,,legacy_location,2026-05-11T22:18:57.352487+00:00
586,,843 craigflower road,belmont properties,,843 Craigflower Road,1512,,450,100809,legacy_location,2026-05-11T22:18:57.352487+00:00
587,,844 courtney street,richmond property group,,844 Courtney Street,1513,,"V 448 
[K1, F1]",100716,legacy_location,2026-05-11T22:18:57.352487+00:00
588,,844 fisgard road,north park manor society,,844 Fisgard Road,1514,,KP 578,100758,legacy_location,2026-05-11T22:18:57.352487+00:00
589,,845 yates street,firm management,,845 Yates Street,1515,,TW 548 K1-F1,,legacy_location,2026-05-11T22:18:57.352487+00:00
591,,850 cook street,newport c. selenz,,850 Cook Street,1517,,11,100075,legacy_location,2026-05-11T22:18:57.352487+00:00
592,,853 burdett avenue,tpm,,853 Burdett Avenue,1518,,397,100596,legacy_location,2026-05-11T22:18:57.352487+00:00
593,,855 ellery street,devon properties,,855 Ellery Street,1519,,144,100104,legacy_location,2026-05-11T22:18:57.352487+00:00
594,,866 craigflower road,belmont properties,,866 Craigflower Road,1520,,449,100908,legacy_location,2026-05-11T22:18:57.352487+00:00
588,,875 north park street,north park manor society,,875 North Park Street,1521,,KP 578,100758,legacy_location,2026-05-11T22:18:57.352487+00:00
596,,877 goldstream avenue,richmond property group,,877 Goldstream Avenue,1522,,LT 778 K2,,legacy_location,2026-05-11T22:18:57.352487+00:00
597,,879 esquimalt road,brown bros.,,879 Esquimalt Road,1523,,430,100005,legacy_location,2026-05-11T22:18:57.352487+00:00
599,,890 academy close,breakwater realty,,890 Academy Close,1525,,S 098 K2,100534,legacy_location,2026-05-11T22:18:57.352487+00:00
